% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:32:43
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
162320.4365648813; -3.46162432573e-05
162371.1695764325; -3.45323515022e-05
162421.9184445112; -3.46980657983e-05
162472.6831740733; -3.46953722061e-05
162523.4637700763; -3.45447718407e-05
162574.2602374792; -3.46641107071e-05
162625.0725812427; -3.44421717803e-05
162675.9008063287; -3.46207029824e-05
162726.7449177011; -3.457680444e-05
162777.604920325; -3.43461923239e-05
162828.4808191672; -3.41551193274e-05
162879.3726191962; -3.41058343646e-05
162930.2803253817; -3.41657167714e-05
162981.2039426952; -3.42320256998e-05
163032.1434761097; -3.37929128854e-05
163083.0989305999; -3.38806177766e-05
163134.0703111416; -3.38643416426e-05
163185.0576227125; -3.37332279691e-05
163236.0608702922; -3.37165093765e-05
163287.0800588612; -3.35742646056e-05
163338.1151934019; -3.36564493398e-05
163389.1662788981; -3.35510505078e-05
163440.2333203354; -3.3428407656e-05
163491.3163227007; -3.33212167194e-05
163542.4152909826; -3.29772258259e-05
163593.5302301711; -3.27716538751e-05
163644.6611452581; -3.28198824605e-05
163695.8080412367; -3.26858090145e-05
163746.9709231017; -3.24979270677e-05
163798.1497958495; -3.25761866704e-05
163849.344664478; -3.2388700116e-05
163900.5555339867; -3.25359459628e-05
163951.7824093768; -3.23546597061e-05
164003.0252956506; -3.21130012237e-05
164054.2841978122; -3.19301172974e-05
164105.559120868; -3.19207450469e-05
164156.8500698248; -3.15481203772e-05
164208.1570496916; -3.14129654634e-05
164259.4800654789; -3.16908960985e-05
164310.8191221985; -3.13209735999e-05
164362.1742248642; -3.11548300073e-05
164413.5453784909; -3.08296839761e-05
164464.9325880955; -3.05854075838e-05
164516.3358586962; -3.08429060874e-05
164567.7551953128; -3.07331761547e-05
164619.1906029668; -3.01309156573e-05
164670.6420866811; -3.02066289189e-05
164722.1096514802; -3.01615448458e-05
164773.5933023904; -3.00347959421e-05
164825.0930444393; -3.02579565367e-05
164876.6088826561; -2.98323583969e-05
164928.1408220713; -2.99984948797e-05
164979.6888677181; -2.96919922246e-05
165031.25302463; -2.91020153912e-05
165082.8332978427; -2.93825429004e-05
165134.4296923932; -2.92205377362e-05
165186.0422133203; -2.91832931145e-05
165237.6708656641; -2.89460712648e-05
165289.3156544667; -2.81162508523e-05
165340.9765847713; -2.87317932782e-05
165392.653661623; -2.78474164746e-05
165444.3468900684; -2.83400707868e-05
165496.0562751556; -2.83061470144e-05
165547.7818219344; -2.8437301232e-05
165599.5235354561; -2.81603249092e-05
165651.2814207736; -2.79847832118e-05
165703.0554829413; -2.76785711223e-05
165754.8457270153; -2.74317393987e-05
165806.6521580528; -2.75773477958e-05
165858.4747811139; -2.73783265254e-05
165910.3136012589; -2.67077271367e-05
165962.1686235502; -2.65480920351e-05
